Image Index,PSNR,SSIM,LPIPS
724,33.0850,0.8973,0.2892
725,33.3030,0.8935,0.2104
726,32.7483,0.8658,0.2232
727,33.1567,0.8979,0.2138
728,33.5561,0.9065,0.2322
729,31.3095,0.7721,0.1902
730,33.3541,0.8853,0.1872
731,33.2116,0.8623,0.1971
732,33.8023,0.9087,0.2039
733,34.2896,0.9246,0.1750
734,32.1706,0.8621,0.2616
735,34.5629,0.9287,0.2548
736,33.9822,0.9108,0.2174
737,32.6269,0.8840,0.2244
738,31.7934,0.8581,0.2596
739,32.9092,0.8949,0.2161
740,33.1874,0.9049,0.2164
741,34.4151,0.9066,0.3145
742,33.5463,0.9127,0.1752
743,33.0281,0.8982,0.2104
744,34.2019,0.9218,0.2209
745,32.2632,0.8794,0.2131
746,33.6087,0.9149,0.2110
747,32.7702,0.8970,0.2120
748,32.8391,0.8940,0.2172
749,35.2080,0.9365,0.2148
750,32.5423,0.8830,0.1866
751,33.3666,0.8923,0.2001
752,32.4285,0.8787,0.2489
753,32.1982,0.8322,0.2195
754,34.1173,0.9014,0.2120
755,33.2007,0.8886,0.2050
756,32.8524,0.8529,0.1935
757,33.3522,0.9210,0.1765
758,35.7676,0.9503,0.2076
759,32.6467,0.8840,0.2445
760,33.1301,0.8884,0.2796
761,32.8104,0.8926,0.2410
762,32.5453,0.8839,0.2716
763,34.7273,0.9083,0.3054
764,34.0186,0.9155,0.2152
765,33.4814,0.9087,0.2572
766,32.5713,0.8807,0.2092
767,33.3188,0.7666,0.1404
768,33.0448,0.8970,0.2152
769,32.2528,0.8812,0.2317
770,33.3025,0.9114,0.2141
771,33.3332,0.9035,0.1944
772,32.3589,0.8725,0.2484
773,33.3948,0.9013,0.2262
774,32.3426,0.7868,0.2045
775,33.8368,0.9078,0.2454
776,33.5413,0.9144,0.1919
777,32.6570,0.8847,0.1996
778,33.9148,0.8767,0.3088
779,32.5504,0.7679,0.1995
780,32.5844,0.8829,0.2676
781,33.2265,0.8907,0.1894
782,33.5706,0.9036,0.2123
783,33.6268,0.8844,0.2109
784,33.0309,0.8926,0.1847
785,35.2482,0.9278,0.2636
786,32.9878,0.8850,0.2535
787,34.2191,0.9425,0.1742
788,33.4792,0.8942,0.2083
789,33.1342,0.8898,0.2195
790,33.0192,0.8974,0.1702
791,33.6398,0.8966,0.1946
792,35.6773,0.9441,0.2217
793,33.3913,0.8940,0.2298
794,34.4663,0.9357,0.2502
795,32.5819,0.8713,0.1865
796,32.8341,0.8780,0.2168
797,32.8983,0.8821,0.1922
798,33.8745,0.9057,0.2617
799,32.7668,0.8988,0.1696
800,32.7470,0.8814,0.1976
801,33.4410,0.8893,0.2193
802,33.0923,0.8880,0.2229
803,34.7836,0.9264,0.1917
804,33.2519,0.8950,0.2274
805,31.5158,0.8624,0.2341
806,32.5421,0.8691,0.2094
807,33.2654,0.8403,0.1812
808,32.9999,0.8874,0.2324
809,33.7122,0.9125,0.2072
810,32.4202,0.8792,0.2337
811,32.8259,0.8586,0.2125
812,32.2188,0.8713,0.2163
813,32.8022,0.8797,0.2619
814,33.2330,0.8872,0.2543
815,32.1835,0.7732,0.1323
816,33.0367,0.8936,0.2211
817,32.8090,0.8590,0.1849
818,32.7920,0.8936,0.2326
