Image Index,PSNR,SSIM,LPIPS
497,35.0851,0.9215,0.1973
498,33.5641,0.9088,0.1706
499,34.1354,0.9032,0.1589
500,33.8662,0.8891,0.1300
501,33.5875,0.9026,0.1710
502,32.6578,0.8826,0.1826
503,32.4054,0.8706,0.1776
504,33.4890,0.7198,0.0895
505,34.5958,0.9078,0.1460
506,33.8489,0.8838,0.1126
507,34.3484,0.8968,0.1363
508,33.3119,0.8842,0.2195
509,35.8565,0.9370,0.1373
510,37.5443,0.9533,0.2479
511,34.1621,0.8992,0.1475
512,34.2122,0.9220,0.1593
513,34.6656,0.9223,0.1192
514,33.0346,0.8847,0.1929
515,33.6878,0.8928,0.1704
516,36.0606,0.9429,0.1522
517,35.2468,0.9091,0.2590
518,33.5363,0.8894,0.1447
519,36.4612,0.9224,0.2083
520,34.5779,0.9066,0.1583
521,33.8432,0.9009,0.1404
522,33.3790,0.8802,0.1516
523,33.9888,0.9050,0.2243
524,32.9163,0.8871,0.1589
525,34.0313,0.9042,0.1928
526,34.7632,0.8998,0.1561
527,33.4469,0.8937,0.1317
528,34.5936,0.8716,0.1692
529,34.5735,0.9045,0.1565
530,34.1845,0.9117,0.1756
531,34.2525,0.9019,0.1819
532,33.8724,0.8848,0.1514
533,34.2374,0.9013,0.1523
534,33.4888,0.8681,0.1499
535,35.0746,0.9097,0.1853
536,34.8244,0.9098,0.1323
537,34.2008,0.9088,0.1704
538,34.3753,0.9065,0.1830
539,34.1713,0.8974,0.1708
540,34.9823,0.9270,0.1253
541,36.6732,0.9534,0.1232
542,33.9653,0.9252,0.1077
543,34.2373,0.9008,0.1486
544,33.3255,0.8753,0.2064
545,37.3379,0.9503,0.2364
546,36.4040,0.9366,0.1535
547,33.7044,0.8939,0.1742
548,35.7775,0.9313,0.1314
549,34.8654,0.8473,0.0815
550,35.4638,0.9309,0.1375
551,34.3310,0.9044,0.1739
552,33.2703,0.8715,0.1460
553,37.3051,0.9528,0.1866
554,33.9096,0.8879,0.1375
555,33.8268,0.8938,0.1636
556,36.4499,0.9430,0.1822
557,34.9190,0.9225,0.1209
558,33.9007,0.8948,0.1425
559,34.9424,0.9112,0.1495
560,34.0012,0.9088,0.1377
561,34.3960,0.8924,0.1467
562,34.4300,0.8625,0.1186
563,33.5086,0.8888,0.1618
564,34.0745,0.9025,0.1529
565,34.0484,0.8887,0.1495
566,35.1353,0.9234,0.1679
567,34.5600,0.9213,0.1546
568,34.3995,0.9076,0.1934
569,33.0978,0.8712,0.1641
570,34.3521,0.8927,0.1547
571,34.1079,0.8882,0.1877
572,35.5721,0.9246,0.1408
573,33.8876,0.8814,0.1319
